,City,Name,Lon,Lat,Kind
0,Madrid,Convento de Nuestra Señora de las Victorias,-3.7022057,40.4166374,"religion,architecture,historic_architecture,monasteries,interesting_places,destroyed_objects"
1,Madrid,Iglesia del Buen Suceso,-3.7026334,40.4168587,"religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,catholic_churches"
2,Madrid,Statue of the Bear and the Strawberry Tree,-3.7026184,40.4170074,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments"
3,Madrid,Presidencia de la Comunidad de Madrid,-3.7034388,40.4163399,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
4,Madrid,Puerta del Sol,-3.703429,40.4170303,"other,unclassified_objects,interesting_places,tourist_object"
5,Madrid,Estatua ecuestre de Carlos III,-3.7035484,40.4169998,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments"
6,Madrid,Real Casa de la Aduana,-3.701827,40.4172821,"historic_architecture,architecture,interesting_places,other_buildings_and_structures"
7,Madrid,Kilometer zero,-3.7038147,40.4166298,"historic,monuments_and_memorials,interesting_places,monuments"
8,Madrid,Imprenta Nacional,-3.7033472,40.4154358,"architecture,historic_architecture,interesting_places,destroyed_objects"
9,Madrid,"Casa Cordero, Madrid",-3.7041862,40.4165802,"historic_architecture,architecture,interesting_places,other_buildings_and_structures"
10,Madrid,Former Banco Central Hispano headquarters,-3.7007194,40.4168625,"historic_architecture,architecture,historic,monuments_and_memorials,interesting_places,bank,banks,monuments,tourist_facilities,other_buildings_and_structures"
11,Madrid,Fuente de Pontejos,-3.7043743,40.4158707,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments"
12,Madrid,Estatua de la Mariblanca,-3.7045529,40.4168625,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments"
13,Madrid,Teatro Albéniz,-3.70417,40.4152985,"theatres_and_entertainments,cultural,cinemas,interesting_places"
14,Madrid,Palace of Goyeneche,-3.70064,40.4175987,"palaces,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,monuments"
15,Madrid,Convento de San Felipe el Real,-3.7050111,40.4164124,"religion,monasteries,interesting_places"
16,Madrid,Teatro de la Comedia,-3.7003987,40.4156151,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
17,Madrid,Palacio de Torrecilla,-3.7006421,40.4176826,"architecture,historic_architecture,interesting_places,destroyed_objects"
18,Madrid,"Casa Palazuelo, Madrid",-3.7050509,40.4166908,"historic,monuments_and_memorials,interesting_places,monuments"
19,Madrid,Muñoz Seca Theater,-3.7032747,40.4183655,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
20,Madrid,Casino de Madrid,-3.7005262,40.4177094,"architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,casino,adult,monuments,other_buildings_and_structures"
21,Madrid,Church of San Luis Obispo,-3.7025805,40.4184914,"religion,churches,interesting_places,other_churches"
22,Madrid,Museo de la Real Academia de Bellas Artes de San Fernando,-3.7006145,40.4178772,"cultural,museums,interesting_places,other_museums"
23,Madrid,Cine Madrid,-3.7036917,40.418354,"theatres_and_entertainments,cultural,cinemas,interesting_places"
24,Madrid,Teatro Reina Victoria,-3.6998544,40.4165077,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
25,Madrid,Church of el Carmen,-3.7040451,40.4182434,"religion,churches,interesting_places,catholic_churches"
